"activity" "subject" "acc.sig" "sensor" "measurement" "axis" "average"
"LAYING" 1 "Body" "Acc" "mean()" "X" 0.22159824394
"LAYING" 2 "Body" "Acc" "mean()" "X" 0.281373403958333
"LAYING" 3 "Body" "Acc" "mean()" "X" 0.275516852741935
"LAYING" 4 "Body" "Acc" "mean()" "X" 0.263559214981481
"LAYING" 5 "Body" "Acc" "mean()" "X" 0.278334325576923
"LAYING" 6 "Body" "Acc" "mean()" "X" 0.248656520140351
"LAYING" 7 "Body" "Acc" "mean()" "X" 0.250176694038462
"LAYING" 8 "Body" "Acc" "mean()" "X" 0.261254282907407
"LAYING" 9 "Body" "Acc" "mean()" "X" 0.2591955368
"LAYING" 10 "Body" "Acc" "mean()" "X" 0.280230574137931
"LAYING" 11 "Body" "Acc" "mean()" "X" 0.280592970877193
"LAYING" 12 "Body" "Acc" "mean()" "X" 0.260113433
"LAYING" 13 "Body" "Acc" "mean()" "X" 0.276716360483871
"LAYING" 14 "Body" "Acc" "mean()" "X" 0.233275439803922
"LAYING" 15 "Body" "Acc" "mean()" "X" 0.2894756525
"LAYING" 16 "Body" "Acc" "mean()" "X" 0.274227162571429
"LAYING" 17 "Body" "Acc" "mean()" "X" 0.269780085577465
"LAYING" 18 "Body" "Acc" "mean()" "X" 0.274691576923077
"LAYING" 19 "Body" "Acc" "mean()" "X" 0.272653733493976
"LAYING" 20 "Body" "Acc" "mean()" "X" 0.239507882205882
"LAYING" 21 "Body" "Acc" "mean()" "X" 0.271325472455556
"LAYING" 22 "Body" "Acc" "mean()" "X" 0.279959721194444
"LAYING" 23 "Body" "Acc" "mean()" "X" 0.274038007986111
"LAYING" 24 "Body" "Acc" "mean()" "X" 0.272850494930556
"LAYING" 25 "Body" "Acc" "mean()" "X" 0.250791828613699
"LAYING" 26 "Body" "Acc" "mean()" "X" 0.271645864540789
"LAYING" 27 "Body" "Acc" "mean()" "X" 0.274102492432432
"LAYING" 28 "Body" "Acc" "mean()" "X" 0.2759134825
"LAYING" 29 "Body" "Acc" "mean()" "X" 0.287295196811594
"LAYING" 30 "Body" "Acc" "mean()" "X" 0.281033900571429
"SITTING" 1 "Body" "Acc" "mean()" "X" 0.261237565425532
"SITTING" 2 "Body" "Acc" "mean()" "X" 0.27708735173913
"SITTING" 3 "Body" "Acc" "mean()" "X" 0.257197599134615
"SITTING" 4 "Body" "Acc" "mean()" "X" 0.27153827992
"SITTING" 5 "Body" "Acc" "mean()" "X" 0.273694139545455
